age,monthly_income,collateral_value,loan_amount,state,collateral_debt,verified_restriction,dishonored_checks,expired_debts,banking_debts,commercial_debts,protests,marital_status,informed_restriction,monthly_payment,informed_purpose,auto_brand,auto_model,auto_year,pre_approved,form_completed,sent_to_analysis,channel,zip_code,gender,utm_term,education_level
52,5668.0,24000.0,5000.0,SP,900.0,0.0,0,0,0,0,0,not_informed,0.0,161.77,cobrir cheque especial,Nissan,LIVINA 1.6 16V Flex Fuel 5p,2011.0,1,0,0,search,4028XXXX,female,,"Ensino médio completo (antigo 2º grau, secundário ou colegial)."
20,5000.0,14200.0,5000.0,SP,1500.0,0.0,0,0,0,0,0,not_informed,0.0,279.56,Pagar dívidas ,VW - VolksWagen,Fox City 1.0Mi/ 1.0Mi Total Flex 8V 3p,2004.0,1,0,0,direct,7060XXXX,male,,"Ensino médio completo (antigo 2º grau, secundário ou colegial)."
48,3000.0,17000.0,8000.0,AM,1060.0,0.0,0,0,0,0,0,not_informed,0.0,447.3,Pagamento de Cartão de Crédiito,Fiat,Palio 1.0 ECONOMY Fire Flex 8V 4p,2010.0,1,0,0,affiliates,6906XXXX,male,,Educação superior completa
56,7500.0,21000.0,12000.0,BA,0.0,1.0,0,0,0,0,0,not_informed,0.0,670.95,comprar um sitio de 20 tarefas ,GM - Chevrolet,Classic/ Classic LS 1.0 VHC FlexPower 4p,2012.0,1,0,0,social,4536XXXX,male,,not_informed
35,3379.0,16500.0,5000.0,SP,0.0,0.0,0,0,0,0,0,not_informed,0.0,333.33,pagar dividas,GM - Chevrolet,Celta Life/ LS 1.0 MPFI 8V FlexPower 5p,2008.0,1,0,0,search,8588XXXX,male,,"Ensino médio completo (antigo 2º grau, secundário ou colegial)."
20,1500.0,14000.0,10800.0,RJ,4375.592031572431,0.0,0,0,0,0,0,not_informed,0.0,450.0,Para comprar outro carro ,GM - Chevrolet,Celta Spirit 1.0 MPFI 8V FlexPower 3p,2007.0,1,0,0,display,2566XXXX,male,,not_informed
44,2000.0,20000.0,5000.0,MG,4375.592031572431,0.0,0,0,0,0,0,not_informed,0.0,541.67,QUITAR DIVIDAS,Renault,LOGAN Privilège Hi-Flex 1.6 16V 4p,2008.0,1,0,0,search,3940XXXX,female,,"Ensino médio completo (antigo 2º grau, secundário ou colegial)."
43,1900.0,18000.0,5000.0,SP,4375.592031572431,0.0,0,0,0,0,0,not_informed,0.0,541.67,REFORMA CASA,Ford,Fiesta 1.0 8V Flex/Class 1.0 8V Flex 5p,2008.0,1,1,0,search,7178XXXX,female,,"Ensino médio completo (antigo 2º grau, secundário ou colegial)."
43,10000.0,24985.0,6000.0,SP,0.0,0.0,0,0,0,0,0,not_informed,0.0,850.9225721103144, ,Nissan,MARCH S 1.0 16V Flex Fuel 5p,2013.0,1,0,1,affiliates,9660XXXX,,,Educação superior completa
23,1700.0,6500.0,5850.0,AP,0.0,0.0,0,0,0,0,0,not_informed,0.0,308.75,Pagar o veiculo,Ford,Fiesta 1.0 8V Flex/Class 1.0 8V Flex 5p,2007.0,1,0,0,remarketing,6899XXXX,male,,"Ensino médio completo (antigo 2º grau, secundário ou colegial)."
42,1600.0,32000.0,10000.0,SP,4375.592031572431,0.0,0,0,0,0,0,not_informed,0.0,416.67,investir no meu negocio,GM - Chevrolet,Zafira Elite 2.0 MPFI FlexPower 8V  Aut,2010.0,1,1,0,search,1602XXXX,male,c,not_informed
43,2500.0,17000.0,15300.0,RJ,4375.592031572431,0.0,0,0,0,0,0,not_informed,0.0,495.01,Para investimento ,Fiat,Siena 1.0/ EX 1.0 mpi Fire/ Fire Flex 8v,2006.0,1,1,0,seo,2894XXXX,female,,not_informed
48,4500.0,40000.0,25000.0,MG,2330.0,0.0,0,0,0,0,0,not_informed,0.0,1319.44,quitar dividas,Mahindra,SCORPIO 2.6 CD TB Diesel CRDe 4x4,2011.0,1,0,0,display,3184XXXX,male,,Ensino fundamental completo (antigo 1º grau ou primário e ginasial).
38,9000.0,20996.0,15000.0,RJ,4375.592031572431,0.0,0,0,0,0,0,not_informed,0.0,485.3,para investimentos em consultório ,Citroën,C3 GLX 1.4/ GLX Sonora 1.4 Flex 8V 5p,2010.0,1,1,1,search,2808XXXX,male,,"Ensino médio completo (antigo 2º grau, secundário ou colegial)."
53,3500.0,13922.0,11000.0,SP,0.0,0.0,0,0,0,0,0,not_informed,0.0,804.08,debts_payment,Ford,Fiesta Personnalité 1.0 8V 66cv 5p,2004.0,1,0,0,search,1223XXXX,,,"Ensino médio completo (antigo 2º grau, secundário ou colegial)."
39,5830.0,35000.0,5000.0,SP,4000.0,0.0,0,0,0,0,0,not_informed,0.0,487.44,Pagar algumas outras dívidas,GM - Chevrolet,ONIX HATCH LS 1.0 8V FlexPower 5p Mec.,2013.0,1,0,0,search,4232XXXX,female,,Educação superior completa
37,3500.0,17000.0,5000.0,RJ,4375.592031572431,0.0,0,0,0,0,0,not_informed,0.0,487.44,para comprar outro carro ,Honda,Fit LXL 1.4/ 1.4 Flex 8V/16V 5p Mec.,2012.0,1,0,0,display,2631XXXX,male,,Ensino fundamental completo (antigo 1º grau ou primário e ginasial).
49,2200.0,15000.0,6000.0,BA,4375.592031572431,0.0,0,0,0,0,0,not_informed,0.0,335.48,Reforma em moradia,Fiat,Siena Celebration 1.0 Fire Flex 8V 4p,2007.0,1,0,0,search,4811XXXX,male,c,"Ensino médio completo (antigo 2º grau, secundário ou colegial)."
58,3500.0,14000.0,5000.0,AP,4375.592031572431,0.0,0,0,0,0,0,not_informed,0.0,487.44,fazer investimento no escritorio,Fiat,Palio Celebration 1.0 Fire Flex 8V 4p,2007.0,1,0,1,social,6890XXXX,male,,not_informed
21,5000.0,15000.0,13500.0,SP,4375.592031572431,0.0,0,0,0,0,0,not_informed,0.0,1462.5,Quitar dividas com juros mais altos,Fiat,Fiorino Furg.1.5/1.3/1.3 Fire/1.3 F.Flex,2007.0,1,0,0,display,3129XXXX,female,,not_informed
37,3000.0,20000.0,7000.0,AM,3000.0,0.0,0,0,0,0,0,not_informed,0.0,466.67,pagamentos diversos,GM - Chevrolet,Celta Spirit/ LT 1.0 MPFI 8V FlexP. 5p,2011.0,1,1,0,display,6903XXXX,male,,"Ensino médio completo (antigo 2º grau, secundário ou colegial)."
19,1300.0,17000.0,5000.0,MG,4000.0,0.0,0,0,0,0,0,not_informed,0.0,208.33,Para quitar meu veiculo,Ford,KA 1.0 8V/1.0 8V ST Flex 3p,2010.0,1,0,0,display,3841XXXX,female,,not_informed
35,4000.0,15000.0,12000.0,SP,4375.592031572431,0.0,0,0,0,0,0,not_informed,0.0,388.24,not_informed,Fiat,Uno Mille 1.0 Fire/ F.Flex/ ECONOMY 4p,2007.0,1,0,0,display,8575XXXX,male,,"Ensino médio completo (antigo 2º grau, secundário ou colegial)."
37,3000.0,14000.0,10000.0,PR,4375.592031572431,0.0,0,0,0,0,0,not_informed,1.0,416.67,Investimento ,Renault,Kangoo RN/Expression 1.6 16V / 1.6 8V 5p,2006.0,1,0,0,search,8580XXXX,female,m,Ensino fundamental completo (antigo 1º grau ou primário e ginasial).
48,4000.0,19000.0,12000.0,MG,0.0,1.0,0,0,1,0,0,not_informed,0.0,500.0,outros recursos,Fiat,Palio 1.0 ECONOMY Fire Flex 8V 4p,2010.0,1,0,0,seo,3940XXXX,male,,Educação superior incompleta.
44,3200.0,46000.0,5000.0,SP,4375.592031572431,0.0,0,0,0,0,0,not_informed,0.0,279.56,qiuitar algumas contas,GM - Chevrolet,PRISMA Sed. LT 1.0 8V FlexPower 4p,2015.0,1,0,0,display,1860XXXX,female,,not_informed
28,1625.0,13000.0,11700.0,SP,0.0,0.0,0,0,0,0,0,not_informed,0.0,378.53,REFORMA,VW - VolksWagen,Gol City (Trend) 1.0 Mi Total Flex 8V 2p,2008.0,1,0,0,remarketing,1392XXXX,female,,"Ensino médio completo (antigo 2º grau, secundário ou colegial)."
49,3000.0,30000.0,21600.0,SP,4886.0,0.0,0,0,0,0,0,not_informed,0.0,900.0,"saldar todas as dívidas,e ficar somente com empréstimo.",Hyundai,HB20 Comf./C.Plus/C.Style 1.0 Flex 12V,2014.0,1,1,0,search,4455XXXX,female,c,"Ensino médio completo (antigo 2º grau, secundário ou colegial)."
40,5000.0,21000.0,15000.0,SP,0.0,0.0,0,0,0,0,0,not_informed,0.0,625.0,fluxo de caixa,Honda,Fit LXL 1.4/ 1.4 Flex 8V/16V 5p Mec.,2007.0,1,0,1,direct,1321XXXX,male,,not_informed
22,3000.0,40000.0,20000.0,SC,0.0,0.0,0,0,0,0,0,not_informed,0.0,833.33,reforma,Hyundai,Tucson 2.0 16V Aut.,2011.0,1,0,0,search,8922XXXX,male,,"Ensino médio completo (antigo 2º grau, secundário ou colegial)."
19,2800.0,30000.0,20160.0,BA,0.0,0.0,0,0,0,0,0,not_informed,0.0,840.0,Pagar dividas ,GM - Chevrolet,Corsa Hat. Joy 1.0/ 1.0 FlexPower 8V 5p,2007.0,1,0,0,display,4785XXXX,male,,"Ensino médio completo (antigo 2º grau, secundário ou colegial)."
43,7500.0,24000.0,5000.0,SP,2500.0,0.0,0,0,0,0,0,not_informed,0.0,487.44,PAGAR DÍVIDAS,GM - Chevrolet,Corsa Hat. Premium 1.4 8V ECONOFLEX 5p,2010.0,1,1,0,search,4286XXXX,female,,"Ensino médio completo (antigo 2º grau, secundário ou colegial)."
25,1000.0,7000.0,5000.0,MG,0.0,0.0,0,0,0,0,0,not_informed,0.0,208.33,Pra compra comida,Honda,Accord Sedã EX 3.5 V6 24V,2008.0,1,0,0,search,3986XXXX,male,,"Ensino médio incompleto (antigo 2º grau, secundário ou colegial)."
